medsos,comment
Youtube,ada yang mau ga moizturizer skintific ?aku jual 90 aja masih di kardus belum make sama sekali
Youtube,review jujur baanget..aq pake moist skintific juga jerawatan bruntusan d kening 🥲dan beberapa d dagu..beli karna racun tiktok. harapannya ngilangin tekstur. malah mulai daari bersihin jerawat lg..padahal baru sembuh jerawat nya
Youtube,"Kaka tolong Jawab dong ,skintific sama dorskin bagusan mana???"
Youtube,D aq rangkaian retinol nya cocok 😁
Youtube,Aku pakek ini kok kayak kusam dan berminyak ya... apa yg salah ya
Youtube,Suka bgtttt ka review nya
Youtube,"Nyoba yg travel size, trus bangun tidur berminyak bgt trus muncul jrwt 1.
Besoknya lanjut muncul 1 lg, emang ternyta ga cocok di aku :("
Youtube,"Kk mau tanya,saya pake barier set skintific baru 2 hari tapi jadi beruntusan,stop/lanjut ka ?saya tanya ke official store'y katanya detox , apakah betul ?"
Youtube,"Kak sy boleh tanya
Sy br mau coba pke rangkaian skintific ini namun sy msh bingung sbg pemula sy harus pke rangkaian yg mana dlu?
Kulit sy normal tp kusam dan ada bnyk bekas jerawat yg sdh menghitam. Mohon bantuannya ka terima kasih bnyk sblmnya salam kenal sy pungky di jogja 🙏🙏"
Youtube,Aku cocok sih tapi sebaiknya pake mlm
Youtube,Skincare yg ini tuh buat memperbaiki skin barrier. Kalo skin barrier rusak mau pakai skincare mahal pun ga bakal ngefek.
Youtube,Udh hampir 1bLn ak pake.. emg sebagus itu.. bikin gLowing..
Youtube,"Sebelum ganti ke prodak ini aku pke cahaya acne tw kan cahaya itu apa,, aku stoplah trus muncul beruntusan stop smpe 4harian,, aku ganti pke skintific yg barir sm acne krn kata host nya pagi pke barir mlmnya pke acne.. Skr beruntusannya makin bnyak,, ini purging/breakout yak ka..yg tw mohon jwb,, baik nya lanjut atw gak"
Youtube,Kalau mau beli harga berspa
Youtube,Ini baru review jujur. Yg lain mah bilang oka oke mulu
Youtube,Pakai skintific muka ku jadi kering sama jerawatan.
Youtube,Aman untuk busui gak ya?
Youtube,terus kakak pagi nya pake apa kak?
Youtube,"Kak, jenis kulit wajahku klau malam kering,  dan klau siang berminyak. Bingung mau pakai moisturizer apa.  Apa boleh pakai 2 moisturizer? Contohnya klau siang pakai yang oily skin,  dan malamnya pakai yng dry skin"
Youtube,Pake ini jd muncul jerawat 😢
Youtube,2 bln pake dan cocok untuk aku yg kulit kering
Youtube,Apa bisa utk flek hitam
Youtube,Aku malah kekurangan kelembapan pake ini :( sampe numpuk moisturer lain juga..
Youtube,Jh
Youtube,"Kalo tipe kulit berkeringat dan selalu berminyak pake nya apa ya, gampang beruntusan dan gatel2 mukanya"
Youtube,"mau tanya, kamu pas bangun pagi double cleanse gak?"
Youtube,"Menurut aku yang pakai selama satu bulan ini, produk skintific mencerahkan wajah"
Youtube,"Kulit wajah ku kering bngt Alhamdulillah cocok dan membantu bngt, pakai skintific"
Youtube,Bener bnget ni aku bru cba 5 hr emang bener ini tuh dipke sblm make up hasilnya bagus aku pke rangkaian yg wrna biru cuma serumnya aku gnti yg symwhitenya tp yg bikin aku kaget setelah make up dihpus muka aku jd gatal2 n bentol2 tp itu cuma sbntr doank selang brp menit gtu ilang gtal2 n bentol2nya 😪 n anehnya ini trjadi sllu dimlm hr stlh aku mndi sore gtu pke skincare psti dh gatel2 n bntol2 gtu😆 aku beli cleanser sm tonernya yg travel size klu moisturizer sm serum symwhitenya  aku beli yg size normal gmn ya mau diterusin takut tp g dilnjut jg sayang hrga mehong 😄 sekedar info kulitku ni trmsuk tipe kulit berminyak tp sekian x gnti2 skincare sich g prnh ngerasain gatel2 fine2 aja cuma x ni yg ngerasa stlh pke kok g nyaman apa mungkin ini hnya ccok u kulit kering ?
Youtube,Bukannya cantella itu bagus untuk jerawat?
Youtube,"suka banget sama pejuang sunscreen satu ini ,, di tiktok pasti dia aja yang gw cari di youtube juga sama ❤️sehat selalu ya kak dan sukses selalu"
Youtube,Bagus aku lepas cream dokter brekout merah pake skintifik perlahan bagus 👍 thebesstt.. Pokoknya.. Emng sih tergantung masing2 kulit. Tp alhamdulillah aku cocok dari kulitku yg sensitif
Youtube,"Kak bunyi notif tulisannya ganggu banget, nyaring ditelinga"
Youtube,Ba. Bisa  menghilangkan. Flek. Hitam?
